id,date,podcast_id,episode,link,duration
34,03/08/2023,14,What breaks a fast - The Big IF,https://open.spotify.com/episode/1TQPcqIWDP70GguDIQUym9?si=24c6482abeed47c6,8
35,03/08/2023,14,What does science say about intermittent fasting?,https://open.spotify.com/episode/1cYW1uBshjp7dvrbBjObQa?si=b68b86f3229844dc,47
36,03/08/2023,14,Should you avoid late night snacks - The Big IF,https://open.spotify.com/episode/4GSj2GjO1srAFhBQMyYn2E?si=7c7a5c8e175c4e9e,6
37,03/08/2023,14,Does calorie counting work? - The Big IF,https://open.spotify.com/episode/4TUnyV4zkr89C0IGzh1Rvh?si=2791dd1d5c0c4f58,9
38,12/08/2023,5,You Could Not Write It,https://open.spotify.com/episode/7zEPyuuyRiIAthPHmwFi4v?si=2ab4e9c3aa814746,61
39,12/09/2023,6,Europe's Plan to Wean Itself off Russian Gas Might Just Work,https://open.spotify.com/episode/56xwuz395JEyF8bXYYKKbK?si=734e0f8018384013,45
40,15/09/2023,15,The great rush for battery metals,https://open.spotify.com/episode/56xwuz395JEyF8bXYYKKbK?si=734e0f8018384013,61
41,02/02/2024,16,Why is everyone choosing to stay single?,https://open.spotify.com/episode/5gXq6btM8l7bAgdAXkqQ6k?si=2f6517cc9d074c38,104
42,20/03/2024,11,Sam Altman,https://open.spotify.com/episode/0Bx6gWK755bUoM238X2Ma1?si=fc61564744d24d9d,114
43,29/03/2024,17,Jessica Ennis-Hill: Don't let anyone push you around,https://open.spotify.com/episode/3srVbN4v24wg1KtBuhhqcD?si=3042c47596f9482a,76
44,02/04/2024,18,AI and Neuroscience: The virtuous cycle,https://open.spotify.com/episode/2pyGPjaLxbkh5TPxHGQgLq?si=f4d9bf4e2c994d3e,34
45,14/04/2024,19,HARDEST GEEZER’s First Exclusive Podcast Since Running The Length of Africa!,https://open.spotify.com/episode/3IXdfbf420YmLzAvuu9mBd?si=38b35efc96e54b47,86
46,31/05/2024,4,Russ Cook (Hardest Geezer),https://open.spotify.com/episode/1I5RYSf6KZ9EUEx2CUw9Vz?si=cc22344120fb46d8,124
47,06/06/2024,20,Why our brains are bad at climate change,https://open.spotify.com/episode/0gzos773vhTXIc9rJdJkmS?si=2e2835b595744933,24
48,07/06/2024,21,Episode One: Good Luck,https://open.spotify.com/episode/7m23kUqtqxYI3IrE4v1Qcd?si=b21254d932a446eb,39
49,14/06/2024,17,Paul McKenna,
50,20/06/2024,9, he-Changing Crosses' EUROS...
51,01/07/2024,22,Woeful England's Great Escape,
52,11/07/2024,5,Pads Off: Jimmy/Mattchin
53,13/07/2025,22,Watkins Stunner Fires England To Final,https://open.spotify.com/episode/18dVhi7euUb2DlG55KRbhU?si=4406e6e7158c453a,23
54,13/07/2024,22,Mainoo Magic, Wonderful Watkins & Southgate On The Brink Of Footballing Immortality,25
55,05/09/2024,23,Donald Trump Interview,https://open.spotify.com/episode/2jesNeddpvEHo4m5k8eOmo?si=b5debf4569ff41db,63
56,08/09/2024,19,LUKE LITTLER - The Nuke's First Exclusive Podcast!,https://open.spotify.com/episode/2o7tMPprcwQQdodgCaVXcq?si=341d602379fe494b,68
57,18/09/2024,11,Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI & the Future of AI,https://open.spotify.com/episode/0bXyQJAylGg7E5mZnyHhNb?si=7795ac778de74805,166

Add category for pod id >= 24
58,18/09/2024,10,#435 - Andrew Huberman,
59,20/09/2024,10,#440 - Pieter Levels
60,21/09/2024,24,Relocation of remote workers...
61,21/09/2024,25,Pieter Levels
62,22/09/2024,26,Reinventing mining ...
63,11/10/2024,Lex Fridman TBC,#76 - ...
64,11/10/2024,9,Brits Abroad: Did Crouch ...
65,28/10/2024,11,#447 - Cursor Team
66,04/11/2024,27,Jamie Carragher: the Red ...
67,23/11/2024,28,Lisbon,
68,30/11/2024,1,Dr. Peter Attia: Supplements
69,28/01/2025,1,Leaverage Dopamine to ...
70,12/02/2025,11,#459 - DeepSeek,
